date,us01mo,us03mo,us06mo,us01y,us02y,us03y,us05y,us07y,us10y,us20y,us30y
1962-01-02,null,null,null,3.22,null,3.70,3.88,null,4.06,4.07,null
1962-01-03,null,null,null,3.24,null,3.70,3.87,null,4.03,4.07,null
1962-01-04,null,null,null,3.24,null,3.69,3.86,null,3.99,4.06,null
1962-01-05,null,null,null,3.26,null,3.71,3.89,null,4.02,4.07,null
1962-01-08,null,null,null,3.31,null,3.71,3.91,null,4.03,4.08,null
1962-01-09,null,null,null,3.32,null,3.74,3.93,null,4.05,4.08,null
1962-01-10,null,null,null,3.33,null,3.75,3.94,null,4.07,4.09,null
1962-01-11,null,null,null,3.33,null,3.77,3.94,null,4.08,4.08,null
1962-01-12,null,null,null,3.30,null,3.76,3.95,null,4.08,4.09,null
1962-01-15,null,null,null,3.32,null,3.79,3.96,null,4.10,4.10,null
1962-01-16,null,null,null,3.30,null,3.81,3.98,null,4.13,4.11,null
1962-01-17,null,null,null,3.30,null,3.81,3.97,null,4.12,4.10,null
1962-01-18,null,null,null,3.27,null,3.79,3.96,null,4.11,4.10,null
1962-01-19,null,null,null,3.27,null,3.78,3.95,null,4.11,4.10,null
1962-01-22,null,null,null,3.25,null,3.76,3.93,null,4.09,4.09,null
1962-01-23,null,null,null,3.25,null,3.77,3.94,null,4.11,4.10,null
1962-01-24,null,null,null,3.24,null,3.76,3.93,null,4.10,4.10,null
1962-01-25,null,null,null,3.27,null,3.77,3.94,null,4.11,4.12,null
1962-01-26,null,null,null,3.28,null,3.80,3.97,null,4.11,4.12,null
1962-01-29,null,null,null,3.28,null,3.80,3.98,null,4.12,4.13,null
1962-01-30,null,null,null,3.28,null,3.80,3.98,null,4.11,4.13,null
1962-01-31,null,null,null,3.29,null,3.81,3.99,null,4.10,4.13,null
1962-02-01,null,null,null,3.300,null,3.81,4.00,null,4.09,4.13,null
1962-02-02,null,null,null,3.300,null,3.77,3.97,null,4.08,4.13,null
1962-02-05,null,null,null,3.290,null,3.77,3.96,null,4.07,4.12,null
1962-02-06,null,null,null,3.290,null,3.77,3.96,null,4.06,4.13,null
1962-02-07,null,null,null,3.290,null,3.77,3.95,null,4.07,4.13,null
1962-02-08,null,null,null,3.300,null,3.75,3.93,null,4.07,4.12,null
1962-02-09,null,null,null,3.280,null,3.73,3.91,null,4.05,4.11,null
1962-02-13,null,null,null,3.280,null,3.72,3.91,null,4.03,4.10,null
1962-02-14,null,null,null,3.310,null,3.71,3.90,null,4.03,4.09,null
1962-02-15,null,null,null,3.330,null,3.71,3.90,null,4.02,4.10,null
1962-02-16,null,null,null,3.330,null,3.69,3.88,null,4.02,4.12,null
1962-02-19,null,null,null,3.320,null,3.67,3.86,null,4.01,4.11,null
1962-02-20,null,null,null,3.310,null,3.67,3.88,null,4.05,4.15,null
1962-02-21,null,null,null,3.280,null,3.64,3.86,null,4.03,4.13,null
1962-02-23,null,null,null,3.240,null,3.60,3.83,null,4.02,4.12,null
1962-02-26,null,null,null,3.220,null,3.58,3.80,null,4.00,4.11,null
1962-02-27,null,null,null,3.230,null,3.57,3.80,null,4.01,4.12,null
1962-02-28,null,null,null,3.210,null,3.53,3.77,null,4.00,4.10,null
1962-03-01,null,null,null,3.150,null,3.44,3.71,null,3.98,4.09,null
1962-03-02,null,null,null,3.170,null,3.48,3.72,null,3.98,4.09,null
1962-03-05,null,null,null,3.180,null,3.53,3.74,null,4.00,4.10,null
1962-03-06,null,null,null,3.180,null,3.52,3.74,null,4.01,4.10,null
1962-03-07,null,null,null,3.140,null,3.52,3.74,null,4.00,4.09,null
1962-03-08,null,null,null,3.110,null,3.51,3.72,null,3.98,4.08,null
1962-03-09,null,null,null,3.120,null,3.53,3.71,null,3.96,4.07,null
1962-03-12,null,null,null,3.130,null,3.54,3.73,null,3.94,4.06,null
1962-03-13,null,null,null,3.110,null,3.53,3.70,null,3.92,4.04,null
1962-03-14,null,null,null,3.100,null,3.53,3.72,null,3.93,4.04,null
1962-03-15,null,null,null,3.100,null,3.52,3.73,null,3.96,4.06,null
